County Name,Year,Attribute,Value,State
ALLAMAKEE,2008,Total Requirements,14698200,Iowa
ALLAMAKEE,2010,Total Expenditures,13769256,Iowa
ALLAMAKEE,2010,Total Ending Balance,3005502,Iowa
ALLAMAKEE,2010,Total Requirements,16774758,Iowa
ALLAMAKEE,2022,Total Expenditures,19041794,Iowa
ALLAMAKEE,2022,Total Ending Balance,3009380,Iowa
ALLAMAKEE,2022,Total Requirements,22051174,Iowa
ALLAMAKEE,2018,Total Expenditures,18434764,Iowa
ALLAMAKEE,2018,Total Ending Balance,2710875,Iowa
ALLAMAKEE,2018,Total Requirements,21145639,Iowa
ALLAMAKEE,2026,Total Expenditures,22602223,Iowa
ALLAMAKEE,2026,Total Ending Balance,2967776,Iowa
ALLAMAKEE,2026,Total Requirements,25569999,Iowa
ALLAMAKEE,2011,Total Expenditures,13384589,Iowa
ALLAMAKEE,2011,Total Ending Balance,2718512,Iowa
ALLAMAKEE,2011,Total Requirements,16103101,Iowa
ALLAMAKEE,2015,Total Expenditures,16109139,Iowa
ALLAMAKEE,2015,Total Ending Balance,1953583,Iowa
ALLAMAKEE,2015,Total Requirements,18062722,Iowa
ALLAMAKEE,2007,Total Expenditures,10982408,Iowa
ALLAMAKEE,2007,Total Ending Balance,2862788,Iowa
ALLAMAKEE,2007,Total Requirements,13845196,Iowa
APPANOOSE,2022,Total Expenditures,19809166,Iowa
APPANOOSE,2022,Total Ending Balance,6152279,Iowa
APPANOOSE,2022,Total Requirements,25961445,Iowa
APPANOOSE,2018,Total Expenditures,11472984,Iowa
APPANOOSE,2018,Total Ending Balance,5987738,Iowa
APPANOOSE,2018,Total Requirements,17460722,Iowa
APPANOOSE,2011,Total Expenditures,10934090,Iowa
APPANOOSE,2011,Total Ending Balance,5272369,Iowa
APPANOOSE,2011,Total Requirements,16206459,Iowa
APPANOOSE,2026,Total Expenditures,15428575,Iowa
APPANOOSE,2026,Total Ending Balance,5741519,Iowa
APPANOOSE,2026,Total Requirements,21170094,Iowa
APPANOOSE,2017,Total Expenditures,11520021,Iowa
APPANOOSE,2017,Total Ending Balance,5256212,Iowa
APPANOOSE,2017,Total Requirements,16776233,Iowa
APPANOOSE,2007,Total Expenditures,9561235,Iowa
APPANOOSE,2007,Total Ending Balance,4022152,Iowa
APPANOOSE,2007,Total Requirements,13583387,Iowa
APPANOOSE,2006,Total Expenditures,10691113,Iowa
APPANOOSE,2006,Total Ending Balance,4970959,Iowa
APPANOOSE,2006,Total Requirements,15662072,Iowa
APPANOOSE,2014,Total Expenditures,11044060,Iowa
APPANOOSE,2014,Total Ending Balance,5356497,Iowa
APPANOOSE,2014,Total Requirements,16400557,Iowa
APPANOOSE,2025,Total Expenditures,15573357,Iowa
APPANOOSE,2025,Total Ending Balance,6328042,Iowa
APPANOOSE,2025,Total Requirements,21901399,Iowa
APPANOOSE,2021,Total Expenditures,12787195,Iowa
APPANOOSE,2021,Total Ending Balance,6019678,Iowa
APPANOOSE,2021,Total Requirements,18806873,Iowa
APPANOOSE,2024,Total Expenditures,16048385,Iowa
APPANOOSE,2024,Total Ending Balance,6034767,Iowa
APPANOOSE,2024,Total Requirements,22083152,Iowa
APPANOOSE,2019,Total Expenditures,12250501,Iowa
APPANOOSE,2019,Total Ending Balance,5492609,Iowa
APPANOOSE,2019,Total Requirements,17743110,Iowa
APPANOOSE,2020,Total Expenditures,12903806,Iowa
APPANOOSE,2020,Total Ending Balance,4879230,Iowa
APPANOOSE,2020,Total Requirements,17783036,Iowa
APPANOOSE,2010,Total Expenditures,10231943,Iowa
APPANOOSE,2010,Total Ending Balance,5297687,Iowa
APPANOOSE,2010,Total Requirements,15529630,Iowa
APPANOOSE,2016,Total Expenditures,11461619,Iowa
APPANOOSE,2016,Total Ending Balance,5212491,Iowa
APPANOOSE,2016,Total Requirements,16674110,Iowa
APPANOOSE,2009,Total Expenditures,12008210,Iowa
APPANOOSE,2009,Total Ending Balance,3909387,Iowa
APPANOOSE,2009,Total Requirements,15917597,Iowa
APPANOOSE,2005,Total Expenditures,9283364,Iowa
APPANOOSE,2005,Total Ending Balance,4391763,Iowa
APPANOOSE,2005,Total Requirements,13675127,Iowa
APPANOOSE,2013,Total Expenditures,10808393,Iowa
APPANOOSE,2013,Total Ending Balance,6286078,Iowa
APPANOOSE,2013,Total Requirements,17094471,Iowa
APPANOOSE,2015,Total Expenditures,11155780,Iowa
APPANOOSE,2015,Total Ending Balance,4851762,Iowa
APPANOOSE,2015,Total Requirements,16007542,Iowa
APPANOOSE,2023,Total Expenditures,16757128,Iowa
APPANOOSE,2023,Total Ending Balance,7716520,Iowa
APPANOOSE,2023,Total Requirements,24473648,Iowa
APPANOOSE,2008,Total Expenditures,9955728,Iowa
APPANOOSE,2008,Total Ending Balance,2769733,Iowa
APPANOOSE,2008,Total Requirements,12725461,Iowa
APPANOOSE,2012,Total Expenditures,11143263,Iowa
APPANOOSE,2012,Total Ending Balance,5906624,Iowa
APPANOOSE,2012,Total Requirements,17049887,Iowa
AUDUBON,2015,Total Expenditures,9148769,Iowa
AUDUBON,2015,Total Ending Balance,3115855,Iowa
AUDUBON,2015,Total Requirements,12264624,Iowa
AUDUBON,2007,Total Expenditures,8159464,Iowa
AUDUBON,2007,Total Ending Balance,2525346,Iowa
AUDUBON,2007,Total Requirements,10684810,Iowa
AUDUBON,2008,Total Expenditures,8108914,Iowa
AUDUBON,2008,Total Ending Balance,2302776,Iowa
AUDUBON,2008,Total Requirements,10411690,Iowa
AUDUBON,2020,Total Expenditures,10788503,Iowa
AUDUBON,2020,Total Ending Balance,2734129,Iowa
AUDUBON,2020,Total Requirements,13522632,Iowa
AUDUBON,2026,Total Expenditures,16747260,Iowa
AUDUBON,2026,Total Ending Balance,5886480,Iowa
AUDUBON,2026,Total Requirements,22633740,Iowa
AUDUBON,2011,Total Expenditures,7984714,Iowa
AUDUBON,2011,Total Ending Balance,2278539,Iowa
AUDUBON,2011,Total Requirements,10263253,Iowa
AUDUBON,2022,Total Expenditures,26843416,Iowa
AUDUBON,2022,Total Ending Balance,4424583,Iowa
AUDUBON,2022,Total Requirements,31267999,Iowa
AUDUBON,2018,Total Expenditures,10988802,Iowa
AUDUBON,2018,Total Ending Balance,3790257,Iowa
AUDUBON,2018,Total Requirements,14779059,Iowa
AUDUBON,2012,Total Expenditures,8519746,Iowa
AUDUBON,2012,Total Ending Balance,2329801,Iowa
AUDUBON,2012,Total Requirements,10849547,Iowa
AUDUBON,2010,Total Expenditures,8659528,Iowa
AUDUBON,2010,Total Ending Balance,2043980,Iowa
AUDUBON,2010,Total Requirements,10703508,Iowa
AUDUBON,2021,Total Expenditures,11965345,Iowa
AUDUBON,2021,Total Ending Balance,2525368,Iowa
AUDUBON,2021,Total Requirements,14490713,Iowa
AUDUBON,2017,Total Expenditures,12893740,Iowa
AUDUBON,2017,Total Ending Balance,3672754,Iowa
AUDUBON,2017,Total Requirements,16566494,Iowa
AUDUBON,2025,Total Expenditures,18210879,Iowa
AUDUBON,2025,Total Ending Balance,6774842,Iowa
AUDUBON,2025,Total Requirements,24985721,Iowa
AUDUBON,2023,Total Expenditures,20495332,Iowa
AUDUBON,2023,Total Ending Balance,5711482,Iowa
AUDUBON,2023,Total Requirements,26206814,Iowa
AUDUBON,2006,Total Expenditures,8545186,Iowa
AUDUBON,2006,Total Ending Balance,2735966,Iowa
AUDUBON,2006,Total Requirements,11281152,Iowa
AUDUBON,2014,Total Expenditures,7699062,Iowa
AUDUBON,2014,Total Ending Balance,1966462,Iowa
AUDUBON,2014,Total Requirements,9665524,Iowa
AUDUBON,2019,Total Expenditures,13039555,Iowa
AUDUBON,2019,Total Ending Balance,3146689,Iowa
AUDUBON,2019,Total Requirements,16186244,Iowa
AUDUBON,2005,Total Expenditures,7350341,Iowa
AUDUBON,2005,Total Ending Balance,3192430,Iowa
AUDUBON,2005,Total Requirements,10542771,Iowa
AUDUBON,2009,Total Expenditures,8409829,Iowa
AUDUBON,2009,Total Ending Balance,2167382,Iowa
AUDUBON,2009,Total Requirements,10577211,Iowa
AUDUBON,2013,Total Expenditures,9293734,Iowa
AUDUBON,2013,Total Ending Balance,2185057,Iowa
AUDUBON,2013,Total Requirements,11478791,Iowa
AUDUBON,2016,Total Expenditures,9192676,Iowa
AUDUBON,2016,Total Ending Balance,3773151,Iowa
AUDUBON,2016,Total Requirements,12965827,Iowa
AUDUBON,2024,Total Expenditures,15473262,Iowa
AUDUBON,2024,Total Ending Balance,7931997,Iowa
AUDUBON,2024,Total Requirements,23405259,Iowa
BENTON,2005,Total Expenditures,19919109,Iowa
BENTON,2005,Total Ending Balance,3958330,Iowa
BENTON,2005,Total Requirements,23877439,Iowa
BENTON,2010,Total Expenditures,28048032,Iowa
BENTON,2010,Total Ending Balance,3920025,Iowa
BENTON,2010,Total Requirements,31968057,Iowa
BENTON,2013,Total Expenditures,24259071,Iowa
BENTON,2013,Total Ending Balance,6588341,Iowa
BENTON,2013,Total Requirements,30847412,Iowa
BENTON,2012,Total Expenditures,25936755,Iowa
BENTON,2012,Total Ending Balance,6149360,Iowa
BENTON,2012,Total Requirements,32086115,Iowa
BENTON,2019,Total Expenditures,29637928,Iowa
BENTON,2019,Total Ending Balance,4166712,Iowa
BENTON,2019,Total Requirements,33804640,Iowa
BENTON,2025,Total Expenditures,41446224,Iowa
BENTON,2025,Total Ending Balance,13525690,Iowa
BENTON,2025,Total Requirements,54971914,Iowa
BENTON,2024,Total Expenditures,42573332,Iowa
BENTON,2024,Total Ending Balance,11896452,Iowa
BENTON,2024,Total Requirements,54469784,Iowa
BENTON,2008,Total Expenditures,19068774,Iowa
BENTON,2008,Total Ending Balance,4414263,Iowa
BENTON,2008,Total Requirements,23483037,Iowa
BENTON,2023,Total Expenditures,36795063,Iowa
BENTON,2023,Total Ending Balance,11951141,Iowa
BENTON,2023,Total Requirements,48746204,Iowa
BENTON,2018,Total Expenditures,27186641,Iowa
BENTON,2018,Total Ending Balance,5795567,Iowa
BENTON,2018,Total Requirements,32982208,Iowa
BENTON,2026,Total Expenditures,40870231,Iowa
BENTON,2026,Total Ending Balance,17923480,Iowa
BENTON,2026,Total Requirements,58793711,Iowa
BENTON,2021,Total Expenditures,32680443,Iowa
BENTON,2021,Total Ending Balance,5636790,Iowa
BENTON,2021,Total Requirements,38317233,Iowa
BENTON,2011,Total Expenditures,29583303,Iowa
BENTON,2011,Total Ending Balance,5324617,Iowa
BENTON,2011,Total Requirements,34907920,Iowa
BENTON,2022,Total Expenditures,31515806,Iowa
BENTON,2022,Total Ending Balance,7071929,Iowa
BENTON,2022,Total Requirements,38587735,Iowa
BENTON,2016,Total Expenditures,25045452,Iowa
BENTON,2016,Total Ending Balance,7976570,Iowa
BENTON,2016,Total Requirements,33022022,Iowa
BENTON,2007,Total Expenditures,18273875,Iowa
BENTON,2007,Total Ending Balance,4785765,Iowa
BENTON,2007,Total Requirements,23059640,Iowa
BENTON,2006,Total Expenditures,19018432,Iowa
BENTON,2006,Total Ending Balance,3534966,Iowa
BENTON,2006,Total Requirements,22553398,Iowa
BENTON,2014,Total Expenditures,23530265,Iowa
BENTON,2014,Total Ending Balance,8398375,Iowa
BENTON,2014,Total Requirements,31928640,Iowa
BENTON,2009,Total Expenditures,21067048,Iowa
BENTON,2009,Total Ending Balance,5073314,Iowa
BENTON,2009,Total Requirements,26140362,Iowa
BENTON,2015,Total Expenditures,26277549,Iowa
BENTON,2015,Total Ending Balance,9555205,Iowa
BENTON,2015,Total Requirements,35832754,Iowa
BENTON,2017,Total Expenditures,26561428,Iowa
BENTON,2017,Total Ending Balance,7551096,Iowa
BENTON,2017,Total Requirements,34112524,Iowa
BENTON,2020,Total Expenditures,32991614,Iowa
BENTON,2020,Total Ending Balance,4799387,Iowa
BENTON,2020,Total Requirements,37791001,Iowa
BLACK HAWK,2023,Total Expenditures,82341993,Iowa
BLACK HAWK,2023,Total Ending Balance,45572444,Iowa
BLACK HAWK,2023,Total Requirements,127914437,Iowa
BLACK HAWK,2016,Total Expenditures,87542950,Iowa
BLACK HAWK,2016,Total Ending Balance,28250610,Iowa
BLACK HAWK,2016,Total Requirements,115793560,Iowa
BLACK HAWK,2024,Total Expenditures,96510691,Iowa
BLACK HAWK,2024,Total Ending Balance,50405304,Iowa
BLACK HAWK,2024,Total Requirements,146915995,Iowa
BLACK HAWK,2005,Total Expenditures,61118090,Iowa
BLACK HAWK,2005,Total Ending Balance,10092426,Iowa
BLACK HAWK,2005,Total Requirements,71210516,Iowa
BLACK HAWK,2013,Total Expenditures,63489874,Iowa
BLACK HAWK,2013,Total Ending Balance,20911093,Iowa
BLACK HAWK,2013,Total Requirements,84400967,Iowa
BLACK HAWK,2019,Total Expenditures,77894202,Iowa
BLACK HAWK,2019,Total Ending Balance,22404030,Iowa
BLACK HAWK,2019,Total Requirements,100298232,Iowa
BLACK HAWK,2026,Total Expenditures,98106704,Iowa
BLACK HAWK,2026,Total Ending Balance,64626894,Iowa
BLACK HAWK,2026,Total Requirements,162733598,Iowa
BLACK HAWK,2006,Total Expenditures,64585031,Iowa
BLACK HAWK,2006,Total Ending Balance,8046451,Iowa
BLACK HAWK,2006,Total Requirements,72631482,Iowa
BLACK HAWK,2009,Total Expenditures,88992971,Iowa
BLACK HAWK,2009,Total Ending Balance,9768540,Iowa
BLACK HAWK,2009,Total Requirements,98761511,Iowa
BLACK HAWK,2007,Total Expenditures,68843996,Iowa
BLACK HAWK,2007,Total Ending Balance,5309549,Iowa
BLACK HAWK,2007,Total Requirements,74153545,Iowa
BLACK HAWK,2017,Total Expenditures,78813479,Iowa
BLACK HAWK,2017,Total Ending Balance,26803976,Iowa
BLACK HAWK,2017,Total Requirements,105617455,Iowa
BLACK HAWK,2015,Total Expenditures,61458530,Iowa
BLACK HAWK,2015,Total Ending Balance,21092379,Iowa
BLACK HAWK,2015,Total Requirements,82550909,Iowa
BLACK HAWK,2008,Total Expenditures,70312752,Iowa
BLACK HAWK,2008,Total Ending Balance,7510060,Iowa
BLACK HAWK,2008,Total Requirements,77822812,Iowa
BLACK HAWK,2018,Total Expenditures,77899222,Iowa
BLACK HAWK,2018,Total Ending Balance,26331022,Iowa
BLACK HAWK,2018,Total Requirements,104230244,Iowa
BLACK HAWK,2011,Total Expenditures,70379199,Iowa
BLACK HAWK,2011,Total Ending Balance,8617031,Iowa
BLACK HAWK,2011,Total Requirements,78996230,Iowa
BLACK HAWK,2021,Total Expenditures,79487848,Iowa
BLACK HAWK,2021,Total Ending Balance,33629608,Iowa
BLACK HAWK,2021,Total Requirements,113117456,Iowa
BLACK HAWK,2012,Total Expenditures,70234248,Iowa
BLACK HAWK,2012,Total Ending Balance,13332152,Iowa
BLACK HAWK,2012,Total Requirements,83566400,Iowa
BLACK HAWK,2020,Total Expenditures,75587455,Iowa
BLACK HAWK,2020,Total Ending Balance,25112450,Iowa
BLACK HAWK,2020,Total Requirements,100699905,Iowa
BLACK HAWK,2022,Total Expenditures,82375600,Iowa
BLACK HAWK,2022,Total Ending Balance,34475378,Iowa
BLACK HAWK,2022,Total Requirements,116850978,Iowa
BLACK HAWK,2025,Total Expenditures,97892817,Iowa
BLACK HAWK,2025,Total Ending Balance,60800937,Iowa
BLACK HAWK,2025,Total Requirements,158693754,Iowa
BLACK HAWK,2014,Total Expenditures,62224226,Iowa
BLACK HAWK,2014,Total Ending Balance,16306994,Iowa
BLACK HAWK,2014,Total Requirements,78531220,Iowa
BLACK HAWK,2010,Total Expenditures,89255411,Iowa
BLACK HAWK,2010,Total Ending Balance,15884478,Iowa
BLACK HAWK,2010,Total Requirements,105139889,Iowa
BOONE,2021,Total Expenditures,23471043,Iowa
BOONE,2021,Total Ending Balance,3583199,Iowa
BOONE,2021,Total Requirements,27054242,Iowa
BOONE,2014,Total Expenditures,21602215,Iowa
BOONE,2014,Total Ending Balance,2163036,Iowa
BOONE,2014,Total Requirements,23765251,Iowa
BOONE,2006,Total Expenditures,16513627,Iowa
BOONE,2006,Total Ending Balance,2872882,Iowa
BOONE,2006,Total Requirements,19386509,Iowa
BOONE,2024,Total Expenditures,25546064,Iowa
BOONE,2024,Total Ending Balance,8433844,Iowa
BOONE,2024,Total Requirements,33979908,Iowa
BOONE,2017,Total Expenditures,20671998,Iowa
BOONE,2017,Total Ending Balance,3355248,Iowa
BOONE,2017,Total Requirements,24027246,Iowa
BOONE,2009,Total Expenditures,20504392,Iowa
BOONE,2009,Total Ending Balance,2962703,Iowa
BOONE,2009,Total Requirements,23467095,Iowa
BOONE,2016,Total Expenditures,19948561,Iowa
BOONE,2016,Total Ending Balance,3549216,Iowa
BOONE,2016,Total Requirements,23497777,Iowa
BOONE,2015,Total Expenditures,19920013,Iowa
BOONE,2015,Total Ending Balance,3451365,Iowa
BOONE,2015,Total Requirements,23371378,Iowa
BOONE,2019,Total Expenditures,21395538,Iowa
BOONE,2019,Total Ending Balance,4444943,Iowa
BOONE,2019,Total Requirements,25840481,Iowa
BOONE,2007,Total Expenditures,18007358,Iowa
BOONE,2007,Total Ending Balance,2197555,Iowa
BOONE,2007,Total Requirements,20204913,Iowa
BOONE,2011,Total Expenditures,22520732,Iowa
BOONE,2011,Total Ending Balance,3073342,Iowa
BOONE,2011,Total Requirements,25594074,Iowa
BOONE,2020,Total Expenditures,22787548,Iowa
BOONE,2020,Total Ending Balance,4138700,Iowa
BOONE,2020,Total Requirements,26926248,Iowa
BOONE,2005,Total Expenditures,14115635,Iowa
BOONE,2005,Total Ending Balance,3978713,Iowa
BOONE,2005,Total Requirements,18094348,Iowa
BOONE,2022,Total Expenditures,26127039,Iowa
BOONE,2022,Total Ending Balance,2297463,Iowa
BOONE,2022,Total Requirements,28424502,Iowa
BOONE,2013,Total Expenditures,21923421,Iowa
BOONE,2013,Total Ending Balance,3117463,Iowa
BOONE,2013,Total Requirements,25040884,Iowa
BOONE,2012,Total Expenditures,22586850,Iowa
BOONE,2012,Total Ending Balance,2140879,Iowa
BOONE,2012,Total Requirements,24727729,Iowa
BOONE,2026,Total Expenditures,29445123,Iowa
BOONE,2026,Total Ending Balance,3043402,Iowa
BOONE,2026,Total Requirements,32488525,Iowa
BOONE,2025,Total Expenditures,27842057,Iowa
BOONE,2025,Total Ending Balance,9644939,Iowa
BOONE,2025,Total Requirements,37486996,Iowa
